Person1,Person2,type
1026,21,friend
1635,2998,acquaintance
2780,2701,acquaintance
1039,2980,friend
1578,561,acquaintance
235,739,acquaintance
890,2908,acquaintance
2547,1483,acquaintance
1177,2256,acquaintance
895,203,acquaintance
1282,923,friend
1714,2430,acquaintance
2372,47,acquaintance
1372,395,acquaintance
2672,1993,acquaintance
2103,2009,acquaintance
2430,2498,acquaintance
2862,2558,acquaintance
2554,2135,acquaintance
201,859,acquaintance
2358,2463,acquaintance
135,380,best friend
1391,1037,friend
1984,595,friend
93,2673,acquaintance
1904,2791,acquaintance
2197,2205,acquaintance
1439,2051,friend
907,2205,friend
1392,1133,friend
1929,1070,friend
646,307,acquaintance
2163,380,best friend
311,1812,friend
1056,53,best friend
1266,909,friend
1434,383,acquaintance
1857,1006,best friend
1549,439,acquaintance
85,2252,best friend
1039,2304,acquaintance
2433,2875,acquaintance
2515,1660,acquaintance
2623,1356,best friend
1567,902,best friend
1859,925,friend
276,2143,friend
687,656,acquaintance
2201,1141,acquaintance
935,1313,friend
324,656,friend
194,1627,friend
1073,2349,acquaintance
215,2894,friend
638,1920,best friend
2215,1063,acquaintance
579,1288,best friend
1477,2216,acquaintance
1852,1839,acquaintance
1327,292,friend
557,99,friend
1612,1515,acquaintance
1340,1859,acquaintance
400,802,acquaintance
2725,1216,acquaintance
453,2527,acquaintance
2791,3,acquaintance
2961,2695,acquaintance
1777,1302,friend
2581,2819,friend
1024,1595,acquaintance
1254,389,acquaintance
352,357,best friend
2360,2426,acquaintance
2536,2499,friend
514,1398,friend
896,787,acquaintance
21,911,acquaintance
1367,107,acquaintance
2112,146,acquaintance
1220,2959,friend
591,1019,acquaintance
2221,561,best friend
796,2037,acquaintance
1951,1605,acquaintance
1056,1567,friend
1748,218,acquaintance
1371,1444,friend
1543,2054,friend
1933,2466,acquaintance
2234,1763,acquaintance
1993,1745,acquaintance
2756,2059,acquaintance
1469,21,acquaintance
1,2148,friend
1303,2795,acquaintance
1375,1867,friend
1013,2981,best friend
2456,1581,acquaintance
480,2766,acquaintance
1928,493,acquaintance
148,462,acquaintance
2164,2103,acquaintance
2704,2702,acquaintance
133,1595,acquaintance
1399,2669,friend
1056,1806,acquaintance
939,608,friend
782,1078,acquaintance
2348,2243,best friend
1573,806,acquaintance
1405,590,best friend
2907,1445,acquaintance
1983,300,acquaintance
2672,2104,acquaintance
1637,2103,acquaintance
2014,201,acquaintance
296,1958,acquaintance
2996,2574,friend
1444,2009,friend
2840,357,acquaintance
2999,692,acquaintance
1877,2484,acquaintance
1944,608,friend
2999,2038,acquaintance
2687,557,acquaintance
2398,280,acquaintance
655,1990,friend
2877,790,friend
644,2599,friend
591,2026,friend
2705,634,acquaintance
2362,1063,acquaintance
1648,1936,friend
1835,1445,friend
2714,2299,friend
762,890,acquaintance
558,1904,acquaintance
329,2912,acquaintance
2224,784,acquaintance
1028,1256,friend
2877,2396,acquaintance
1268,802,friend
2996,1431,friend
2345,276,acquaintance
1070,2615,friend
1020,2398,acquaintance
198,307,acquaintance
2349,110,acquaintance
594,2681,best friend
2374,846,acquaintance
2819,1773,acquaintance
2020,372,acquaintance
2640,1444,acquaintance
1022,2023,acquaintance
796,2957,friend
863,925,friend
1958,2147,best friend
2269,687,friend
863,2137,acquaintance
395,624,acquaintance
186,558,acquaintance
1282,2763,best friend
1169,241,acquaintance
1637,1556,acquaintance
1133,2396,acquaintance
485,892,friend
1336,2827,acquaintance
2923,965,acquaintance
300,53,acquaintance
966,2666,friend
2615,1877,acquaintance
2240,2148,friend
799,1442,friend
456,1266,acquaintance
1807,2459,friend
2912,450,acquaintance
377,1541,acquaintance
2100,1703,friend
395,2544,friend
2122,1387,acquaintance
2863,1752,acquaintance
1928,1116,friend
1540,1682,acquaintance
2206,963,acquaintance
1596,2627,acquaintance
872,680,friend
954,2351,acquaintance
1423,2669,friend
553,731,friend
2981,370,friend
787,1158,acquaintance
1020,576,friend
1462,395,friend
2252,2062,acquaintance
2504,2148,acquaintance
692,1048,acquaintance
1637,2993,acquaintance
43,1803,acquaintance
783,1322,acquaintance
2666,552,acquaintance
1259,1068,acquaintance
707,2372,acquaintance
63,2535,friend
2547,1803,friend
838,674,friend
1022,2585,acquaintance
2960,324,acquaintance
2019,2574,acquaintance
923,2764,acquaintance
939,15,acquaintance
2220,757,friend
1391,67,acquaintance
2135,1927,friend
630,1403,friend
2928,307,friend
135,2161,acquaintance
557,1477,acquaintance
1596,1054,friend
2981,1889,acquaintance
1882,1818,acquaintance
813,674,friend
1132,806,acquaintance
2267,594,best friend
2473,2447,acquaintance
882,2016,acquaintance
891,751,friend
2586,2674,friend
2996,1567,acquaintance
2398,2235,acquaintance
2599,400,acquaintance
813,1983,acquaintance
461,1770,acquaintance
806,2447,acquaintance
737,875,acquaintance
589,712,acquaintance
300,2173,friend
337,182,friend
2960,2483,acquaintance
2702,341,acquaintance
409,2400,acquaintance
621,1405,acquaintance
1262,294,acquaintance
190,902,acquaintance
2795,2510,friend
2981,1843,friend
2430,1428,acquaintance
2702,2659,acquaintance
1150,2708,friend
325,2101,acquaintance
590,270,acquaintance
1158,295,acquaintance
1442,1434,acquaintance
203,2695,friend
1275,1368,acquaintance
1877,2289,friend
784,2317,acquaintance
1336,1058,acquaintance
2605,2920,friend
2341,2456,acquaintance
212,2310,friend
1736,804,acquaintance
552,1210,acquaintance
1889,284,acquaintance
1754,739,friend
1119,2124,acquaintance
2026,357,acquaintance
209,938,friend
2206,2961,acquaintance
284,107,acquaintance
2425,1019,acquaintance
162,667,acquaintance
2748,1984,friend
1807,1177,acquaintance
1086,1227,acquaintance
2981,16,acquaintance
2952,14,friend
1984,1843,acquaintance
331,2804,acquaintance
480,476,acquaintance
2234,2999,acquaintance
2841,896,acquaintance
2019,869,acquaintance
2466,1070,friend
1845,416,friend
2317,2401,friend
257,1666,friend
2558,283,friend
1270,429,friend
804,1644,acquaintance
2025,59,friend
1189,2167,acquaintance
1256,762,acquaintance
2135,2234,acquaintance
2615,2023,acquaintance
729,299,acquaintance
276,416,friend
2074,1141,acquaintance
2537,606,friend
1556,2756,friend
586,155,acquaintance
919,1515,friend
1652,2467,acquaintance
588,1433,friend
1119,1573,friend
1549,2581,friend
1541,2167,acquaintance
2640,1485,friend
2907,1428,friend
1442,2600,friend
2986,265,acquaintance
1254,757,acquaintance
559,1512,acquaintance
2418,2310,friend
2124,2868,acquaintance
1905,656,best friend
241,963,acquaintance
1442,528,acquaintance
1904,1268,acquaintance
1846,557,friend
1644,2456,friend
1951,559,friend
1330,1498,friend
1178,222,acquaintance
1492,2607,acquaintance
1843,2215,acquaintance
963,1945,acquaintance
798,1273,acquaintance
1810,778,best friend
235,1227,acquaintance
333,450,friend
1398,218,acquaintance
2004,723,acquaintance
2043,416,friend
2780,1409,friend
2920,67,acquaintance
846,2827,acquaintance
621,2104,acquaintance
888,794,acquaintance
2037,1843,friend
2337,757,acquaintance
1752,646,acquaintance
517,2216,acquaintance
2261,709,acquaintance
1405,1472,best friend
704,265,acquaintance
338,2811,acquaintance
553,1738,acquaintance
2659,1844,acquaintance
1599,2345,acquaintance
1426,176,acquaintance
1974,102,friend
2341,1137,friend
2383,521,acquaintance
1203,1494,acquaintance
2178,389,friend
1327,509,acquaintance
2577,1426,friend
352,1220,acquaintance
1862,1171,acquaintance
1685,806,friend
223,102,friend
1703,2752,acquaintance
1399,2135,acquaintance
2766,2046,acquaintance
1599,733,best friend
2188,1655,acquaintance
1829,1857,acquaintance
2598,2041,friend
674,2659,friend
352,218,acquaintance
1133,2164,friend
589,1985,acquaintance
186,2949,acquaintance
1437,1983,acquaintance
493,1339,acquaintance
1068,709,friend
2849,2425,friend
762,1905,acquaintance
1655,1443,best friend
430,2235,acquaintance
277,2701,acquaintance
409,2858,friend
2585,813,acquaintance
2919,876,friend
733,1967,acquaintance
2993,3,acquaintance
2358,602,acquaintance
1532,2994,acquaintance
2167,2671,acquaintance
1703,1990,friend
2582,1512,acquaintance
1508,2527,acquaintance
120,2584,acquaintance
1442,1274,acquaintance
679,861,friend
1963,195,acquaintance
2704,1983,friend
2882,2653,friend
2756,2713,acquaintance
1499,2870,acquaintance
1800,973,acquaintance
802,2345,friend
2849,737,acquaintance
1893,2744,friend
2922,2504,friend
2026,2256,acquaintance
1469,2188,friend
480,2499,friend
2054,1008,acquaintance
576,1154,best friend
1829,1423,acquaintance
1068,1005,friend
973,797,acquaintance
1177,2942,acquaintance
1062,2310,acquaintance
2830,1837,best friend
1362,1910,acquaintance
2030,1275,friend
1738,450,acquaintance
130,2752,acquaintance
1013,1086,acquaintance
1671,524,acquaintance
1717,1368,acquaintance
1777,2725,friend
314,1917,friend
2061,1594,friend
1882,1332,acquaintance
2443,2117,friend
2422,892,friend
869,2052,friend
1807,2959,acquaintance
2584,35,friend
2704,2411,acquaintance
276,2877,friend
1009,1356,friend
2442,196,acquaintance
186,2430,acquaintance
1177,1594,acquaintance
1746,2648,best friend
865,2098,acquaintance
911,1340,acquaintance
1644,190,acquaintance
558,1694,acquaintance
794,2728,acquaintance
712,1240,friend
1588,1189,friend
1282,963,acquaintance
2271,1990,best friend
2644,2612,friend
223,1935,acquaintance
1020,1368,acquaintance
1844,2462,acquaintance
900,525,friend
762,392,acquaintance
1738,1830,acquaintance
2536,1663,acquaintance
2819,2979,acquaintance
155,396,friend
2500,1048,acquaintance
1701,461,acquaintance
724,561,friend
2893,2949,acquaintance
1362,280,acquaintance
2607,2215,acquaintance
1791,57,friend
700,133,acquaintance
1372,1782,acquaintance
570,1445,acquaintance
423,240,acquaintance
2986,528,acquaintance
1555,576,friend
1016,2348,acquaintance
1870,1829,acquaintance
2669,2135,friend
1963,1859,acquaintance
1421,1717,friend
961,724,friend
1846,762,best friend
1963,1932,acquaintance
2804,1442,friend
2305,1452,acquaintance
588,1512,acquaintance
2489,2841,friend
1392,680,acquaintance
945,965,friend
2303,1932,acquaintance
1256,2834,best friend
2398,395,acquaintance
2535,2172,friend
911,14,acquaintance
1087,1877,friend
1882,1367,friend
700,195,friend
2269,1833,friend
998,1791,acquaintance
2104,762,acquaintance
2574,1189,best friend
1466,1303,acquaintance
1349,2990,acquaintance
1387,1993,acquaintance
1508,950,friend
2289,196,acquaintance
1062,1818,acquaintance
2627,2004,acquaintance
721,1777,acquaintance
667,2942,friend
185,128,acquaintance
198,123,friend
552,461,friend
1340,2561,friend
2961,2267,acquaintance
1575,1655,acquaintance
222,259,acquaintance
357,273,friend
1690,130,acquaintance
2398,2943,acquaintance
2704,2289,acquaintance
2547,512,best friend
272,900,friend
680,2368,acquaintance
1876,2544,friend
2423,1910,friend
1782,2804,acquaintance
1063,1556,acquaintance
1589,1010,acquaintance
1048,2147,acquaintance
2834,1792,friend
503,1203,acquaintance
1839,932,acquaintance
1262,2043,friend
1336,2004,acquaintance
2688,2711,friend
1878,1945,friend
813,2435,acquaintance
1005,2289,acquaintance
987,1339,friend
1210,2713,friend
396,1519,friend
1200,485,acquaintance
1485,450,acquaintance
2780,2051,acquaintance
2833,57,acquaintance
778,1350,acquaintance
1303,259,acquaintance
2122,2345,acquaintance
2877,1469,acquaintance
1773,1876,acquaintance
2841,2996,acquaintance
1058,919,best friend
2456,778,acquaintance
1968,1327,acquaintance
262,1203,acquaintance
2862,1987,acquaintance
2737,2019,acquaintance
1023,341,acquaintance
1555,528,acquaintance
2016,1227,acquaintance
2272,2483,friend
2961,2215,acquaintance
2849,2100,acquaintance
1963,2368,friend
2702,1728,acquaintance
1399,2337,acquaintance
194,1270,acquaintance
148,1499,acquaintance
561,299,friend
2182,307,acquaintance
381,782,friend
935,1958,acquaintance
1169,257,friend
1212,2759,acquaintance
1409,1169,acquaintance
135,2558,acquaintance
863,2702,acquaintance
1877,1714,friend
277,1146,friend
2612,135,acquaintance
1730,559,acquaintance
284,2074,acquaintance
131,2100,friend
2062,1105,acquaintance
783,1,acquaintance
973,2763,acquaintance
131,2763,acquaintance
802,954,acquaintance
1690,1339,acquaintance
2484,2919,acquaintance
93,2172,acquaintance
514,176,acquaintance
2396,1687,acquaintance
2086,2402,acquaintance
1830,606,friend
634,118,acquaintance
2059,2261,friend
2912,602,acquaintance
2019,1870,acquaintance
2267,1058,acquaintance
521,2774,acquaintance
1105,1873,acquaintance
1824,1951,friend
162,1483,friend
1095,209,acquaintance
1562,2640,friend
2276,1272,friend
357,594,friend
1619,2235,acquaintance
1282,751,friend
2952,343,acquaintance
475,241,acquaintance
1068,2272,friend
1945,2894,acquaintance
1983,2077,friend
1477,8,acquaintance
1313,498,friend
2898,2688,friend
2403,1377,acquaintance
664,2305,acquaintance
2161,1243,friend
1322,1304,acquaintance
938,2982,friend
2335,1985,acquaintance
276,1431,friend
1575,3,acquaintance
2701,2644,friend
343,2381,acquaintance
2951,2558,acquaintance
2122,1010,friend
679,2038,best friend
2553,2114,friend
1819,1963,friend
342,1302,acquaintance
182,939,acquaintance
272,1306,acquaintance
2188,2965,best friend
2969,695,acquaintance
817,1679,acquaintance
455,1327,friend
939,1752,acquaintance
2401,1200,friend
2581,1890,acquaintance
1010,1703,acquaintance
2426,1655,acquaintance
1843,511,acquaintance
872,2030,acquaintance
2041,1729,friend
2537,448,acquaintance
1013,2422,friend
1086,2252,acquaintance
240,2961,acquaintance
1304,63,friend
259,2218,best friend
2908,2317,friend
1508,389,acquaintance
859,739,acquaintance
1778,2957,acquaintance
2672,1935,acquaintance
1835,998,best friend
1876,2019,friend
579,2004,acquaintance
2243,1615,acquaintance
272,2675,friend
331,1432,acquaintance
1873,1798,acquaintance
2536,1929,acquaintance
590,1254,friend
1770,2303,acquaintance
2544,2335,friend
1741,85,acquaintance
1132,257,acquaintance
2804,678,acquaintance
511,1739,acquaintance
896,2215,friend
1846,1089,best friend
409,2038,acquaintance
1515,553,best friend
1922,2449,acquaintance
2271,1368,acquaintance
2205,1087,acquaintance
352,59,acquaintance
1951,2613,acquaintance
2286,1328,acquaintance
2920,2243,best friend
2380,1013,acquaintance
276,1056,friend
475,655,acquaintance
1443,2882,acquaintance
2701,2819,acquaintance
2510,558,acquaintance
2504,1022,friend
2025,1306,acquaintance
2510,284,friend
1051,2418,acquaintance
1803,2672,friend
1763,804,acquaintance
1867,1690,acquaintance
1474,2969,acquaintance
2919,648,friend
1857,2221,best friend
1336,380,acquaintance
163,2898,friend
2425,1846,acquaintance
1739,923,acquaintance
621,2758,friend
2098,2952,friend
2577,1904,friend
1890,882,best friend
2942,1512,best friend
1655,1846,acquaintance
2574,2046,acquaintance
282,1694,friend
2994,1663,acquaintance
2827,1798,acquaintance
2240,646,friend
1619,552,friend
997,1254,acquaintance
1947,2949,acquaintance
2952,1541,acquaintance
2672,150,acquaintance
294,723,acquaintance
2714,1212,friend
2908,1619,friend
2827,2510,acquaintance
2016,2051,friend
1391,2216,acquaintance
1932,1,acquaintance
925,2122,acquaintance
128,439,acquaintance
276,872,friend
2117,1477,friend
3,1171,acquaintance
1575,2101,friend
2442,2463,friend
1830,911,acquaintance
875,1424,best friend
1987,1011,acquaintance
2037,2528,acquaintance
624,2584,acquaintance
2004,729,acquaintance
341,1936,acquaintance
2335,1993,acquaintance
2849,2127,acquaintance
2117,456,acquaintance
757,1477,friend
155,1332,friend
2868,654,acquaintance
2004,1965,acquaintance
935,2077,acquaintance
430,630,acquaintance
2221,1919,acquaintance
456,900,acquaintance
423,2598,friend
1336,471,friend
1524,1167,acquaintance
1837,1409,acquaintance
882,1528,acquaintance
882,2599,friend
57,2173,acquaintance
1428,2759,acquaintance
2363,1070,best friend
1403,644,acquaintance
1137,1371,acquaintance
1485,1698,acquaintance
1736,2220,acquaintance
1425,869,friend
576,1615,best friend
938,935,best friend
185,1424,acquaintance
1944,292,acquaintance
1944,945,acquaintance
528,1428,acquaintance
1555,1105,acquaintance
1870,1367,acquaintance
517,478,best friend
2396,2996,acquaintance
560,2511,acquaintance
961,1042,acquaintance
1833,2135,acquaintance
1690,2791,acquaintance
863,2598,acquaintance
54,1583,acquaintance
2484,1026,friend
667,2494,acquaintance
1485,1419,friend
1528,2952,friend
1581,2870,best friend
1745,2858,acquaintance
1020,478,acquaintance
1119,2240,friend
2051,215,acquaintance
2894,2653,acquaintance
2812,1200,acquaintance
1984,423,friend
2607,2400,acquaintance
2979,1810,acquaintance
1541,2178,friend
1701,737,acquaintance
838,2172,acquaintance
90,2763,friend
2358,1001,friend
102,2499,acquaintance
2970,2499,acquaintance
1600,383,acquaintance
1730,2979,acquaintance
1086,203,friend
1777,337,friend
1350,93,acquaintance
337,1673,friend
2849,1483,acquaintance
1058,2421,acquaintance
1857,2425,acquaintance
2511,2756,acquaintance
2172,1442,acquaintance
1741,1266,acquaintance
718,1452,best friend
2504,195,friend
253,1833,friend
2256,1288,acquaintance
2897,2830,acquaintance
1893,2625,friend
1259,194,friend
514,472,acquaintance
559,806,acquaintance
284,2605,acquaintance
552,1425,acquaintance
2580,2195,acquaintance
1581,131,acquaintance
840,1935,acquaintance
1048,2711,friend
107,680,acquaintance
599,2062,friend
2675,2124,acquaintance
621,2372,friend
379,599,acquaintance
1687,14,acquaintance
1745,2048,acquaintance
2922,2974,acquaintance
2037,430,acquaintance
2398,1829,acquaintance
2942,2337,friend
551,1844,acquaintance
1272,882,friend
2675,1443,friend
2094,2870,acquaintance
284,2418,acquaintance
667,2147,acquaintance
1042,2454,friend
1773,2640,friend
524,2858,friend
923,1425,acquaintance
2122,471,acquaintance
2536,1798,acquaintance
2819,2674,best friend
439,201,friend
1524,2014,friend
1024,2875,acquaintance
1304,1073,acquaintance
798,2349,acquaintance
1541,2804,acquaintance
2061,2519,acquaintance
135,314,acquaintance
2289,8,friend
2473,963,acquaintance
2272,2101,acquaintance
796,891,acquaintance
2310,1770,acquaintance
3,392,friend
485,1968,acquaintance
2752,1876,acquaintance
2226,2483,friend
2951,294,acquaintance
2224,2672,acquaintance
2341,1132,acquaintance
1054,2542,friend
1581,292,acquaintance
1068,395,best friend
2999,2082,acquaintance
787,453,friend
155,2833,acquaintance
1928,2381,acquaintance
2453,405,acquaintance
1313,2337,friend
1715,135,acquaintance
2704,240,acquaintance
2595,1779,acquaintance
1819,1238,acquaintance
2418,2261,friend
631,1398,acquaintance
1519,273,acquaintance
1910,2009,acquaintance
2221,287,acquaintance
2261,120,friend
182,333,best friend
2407,2462,best friend
721,2360,friend
292,551,acquaintance
2528,444,friend
1594,2542,friend
762,2990,acquaintance
1862,1302,acquaintance
1945,2993,acquaintance
2554,2675,friend
2961,1210,acquaintance
102,270,friend
838,201,friend
179,1845,friend
2304,2054,acquaintance
2383,131,acquaintance
461,1154,acquaintance
201,2148,friend
770,528,acquaintance
453,2030,acquaintance
2425,973,friend
2666,1717,acquaintance
2074,1403,acquaintance
2310,343,acquaintance
655,1830,acquaintance
1466,2827,acquaintance
341,1984,acquaintance
2974,203,acquaintance
324,1443,acquaintance
37,2026,acquaintance
383,201,acquaintance
2205,595,friend
2756,259,acquaintance
2780,1371,best friend
1042,723,acquaintance
2990,133,acquaintance
2046,300,friend
2701,379,best friend
772,2215,friend
1433,1182,friend
749,1054,friend
1314,2411,acquaintance
1445,751,friend
1993,751,acquaintance
1593,2795,acquaintance
2546,2693,best friend
1268,2363,acquaintance
150,1629,acquaintance
1738,796,friend
299,2274,acquaintance
1928,2004,acquaintance
1698,2868,acquaintance
2052,2343,friend
2726,2205,best friend
1477,2499,acquaintance
2585,1893,friend
1243,2748,friend
2782,1432,acquaintance
1818,1,friend
2305,1006,acquaintance
1600,279,acquaintance
2372,1746,acquaintance
2714,2605,acquaintance
1433,762,acquaintance
90,299,acquaintance
2574,485,acquaintance
1322,2484,acquaintance
1001,311,friend
57,163,friend
2449,2912,friend
2969,600,acquaintance
150,2840,acquaintance
2021,1777,best friend
2008,2498,best friend
2171,608,friend
28,1073,acquaintance
1932,63,acquaintance
2109,1515,acquaintance
165,2094,acquaintance
2173,182,acquaintance
2449,919,friend
179,2265,friend
2791,1845,acquaintance
524,2930,acquaintance
1137,2498,acquaintance
2411,913,friend
444,1090,friend
630,2256,friend
2854,648,acquaintance
2980,2894,friend
1288,797,friend
1715,1171,acquaintance
1466,2407,acquaintance
135,965,acquaintance
2430,573,friend
1682,1890,friend
907,2949,friend
1421,2210,friend
222,552,acquaintance
279,2653,acquaintance
2030,875,acquaintance
1068,150,acquaintance
133,558,friend
931,2502,friend
654,2337,best friend
2841,739,acquaintance
1890,600,acquaintance
1929,2453,acquaintance
546,528,acquaintance
1935,721,friend
2418,2919,acquaintance
1928,1202,acquaintance
2897,295,friend
2989,790,acquaintance
2926,2519,acquaintance
2893,182,friend
1196,2763,friend
2240,1904,acquaintance
2043,130,acquaintance
2341,875,friend
2305,869,acquaintance
1423,1462,acquaintance
1424,982,best friend
439,1819,friend
1362,2340,acquaintance
2396,314,best friend
1993,2957,acquaintance
1399,1327,friend
1849,2711,acquaintance
1048,2981,acquaintance
2216,1729,friend
2553,2038,acquaintance
589,1124,friend
2854,1348,best friend
14,2276,acquaintance
2780,2627,acquaintance
771,749,friend
453,561,acquaintance
2274,142,best friend
794,1592,friend
1328,1593,acquaintance
2292,517,friend
1763,2647,acquaintance
1425,2353,acquaintance
1778,1196,acquaintance
107,1945,acquaintance
2218,102,acquaintance
8,1243,acquaintance
998,1648,acquaintance
1945,2421,acquaintance
179,2147,friend
1532,1203,acquaintance
117,1541,best friend
1472,1951,acquaintance
573,1629,acquaintance
270,638,acquaintance
1157,2423,friend
2051,2435,acquaintance
931,787,acquaintance
2949,1167,friend
841,783,acquaintance
429,502,friend
2674,338,acquaintance
2422,2112,acquaintance
1515,1466,acquaintance
552,606,friend
2026,1815,acquaintance
2430,329,acquaintance
1426,589,acquaintance
846,2235,friend
679,1928,acquaintance
1051,2224,acquaintance
2343,444,acquaintance
193,656,acquaintance
195,2779,friend
2188,1541,acquaintance
2349,461,friend
954,2335,acquaintance
2418,2710,acquaintance
324,131,acquaintance
1328,907,acquaintance
582,2674,acquaintance
130,782,acquaintance
2148,976,friend
656,1543,acquaintance
2574,133,acquaintance
2515,2062,friend
1807,1396,best friend
1086,1936,acquaintance
1058,2341,friend
909,155,acquaintance
678,21,acquaintance
2574,1371,acquaintance
2453,209,best friend
2234,1434,acquaintance
1777,2795,friend
896,311,best friend
1690,1555,acquaintance
1261,2675,acquaintance
2542,1276,acquaintance
2314,133,acquaintance
471,1270,acquaintance
1116,1268,friend
1810,2547,acquaintance
546,1275,friend
2407,997,acquaintance
1779,1605,friend
2834,235,acquaintance
150,1347,acquaintance
546,1177,acquaintance
341,2410,acquaintance
1202,2220,friend
2553,2353,friend
2996,521,acquaintance
1405,1238,friend
1466,525,acquaintance
2627,2504,friend
2046,1425,acquaintance
1086,966,best friend
341,1933,acquaintance
273,59,acquaintance
2833,1745,friend
1313,2960,acquaintance
90,685,acquaintance
1599,2305,friend
1829,1549,best friend
2763,644,acquaintance
778,1443,friend
2687,1452,friend
2912,165,friend
215,2688,acquaintance
2970,1494,friend
2269,2631,friend
2640,2779,friend
2710,35,friend
2547,1583,acquaintance
1443,155,friend
2276,2898,friend
471,2515,acquaintance
2269,1328,acquaintance
529,423,friend
1929,509,friend
1578,2811,acquaintance
509,2026,acquaintance
1882,59,best friend
110,737,friend
1958,97,friend
1515,1543,acquaintance
1350,2868,acquaintance
151,925,acquaintance
1730,1254,acquaintance
1421,2868,friend
2751,2337,acquaintance
2546,131,friend
2882,2599,friend
2350,1637,friend
276,2333,friend
875,253,friend
265,1947,acquaintance
2103,1541,acquaintance
638,2269,acquaintance
2984,2435,acquaintance
2345,1782,friend
1421,1327,acquaintance
558,804,acquaintance
846,1928,acquaintance
279,1068,acquaintance
1928,757,friend
2582,804,acquaintance
681,331,acquaintance
1592,130,acquaintance
2759,715,acquaintance
2984,1494,acquaintance
2256,223,friend
1119,2098,acquaintance
990,1760,acquaintance
1484,54,acquaintance
1715,2994,friend
1304,1556,acquaintance
270,2669,acquaintance
472,1573,acquaintance
2544,1177,friend
2791,2381,acquaintance
634,1615,acquaintance
1089,2870,acquaintance
2043,1116,acquaintance
1037,478,acquaintance
1890,2598,acquaintance
2926,253,acquaintance
1063,2994,acquaintance
2840,1893,acquaintance
2528,2623,friend
863,1288,acquaintance
2922,151,acquaintance
1474,163,acquaintance
990,1936,acquaintance
2267,90,best friend
1648,2454,friend
1203,2728,acquaintance
1524,1445,acquaintance
1879,2547,acquaintance
2687,2586,acquaintance
201,1600,acquaintance
687,1889,acquaintance
2598,1660,acquaintance
1605,2584,friend
654,913,acquaintance
1203,2718,acquaintance
1288,2989,acquaintance
685,2705,acquaintance
1843,2982,friend
1177,1671,acquaintance
1078,2504,friend
1264,1543,friend
2037,1849,friend
272,1462,friend
804,279,friend
2340,2182,best friend
162,2402,acquaintance
2371,2341,acquaintance
190,2060,friend
331,787,acquaintance
2094,1432,acquaintance
2766,766,acquaintance
1037,389,friend
135,1426,best friend
1629,1466,acquaintance
444,2484,acquaintance
1048,1058,acquaintance
938,185,acquaintance
284,2599,acquaintance
882,709,acquaintance
133,1006,friend
2943,2687,friend
1046,2305,best friend
2341,2269,acquaintance
1445,1777,friend
1405,2037,acquaintance
1703,872,acquaintance
2380,2466,best friend
559,2299,acquaintance
456,1019,acquaintance
2961,2037,acquaintance
1419,1777,friend
1322,1852,friend
783,2907,acquaintance
357,2137,acquaintance
1399,2435,friend
2234,1011,friend
2585,2613,acquaintance
551,1845,friend
2210,896,friend
2868,528,best friend
1037,2928,acquaintance
324,954,friend
935,2051,acquaintance
1274,90,friend
1443,2167,best friend
1745,1484,friend
131,1200,friend
1090,502,acquaintance
2776,148,friend
739,1933,friend
2782,1543,acquaintance
2061,2026,best friend
2702,1944,friend
890,1200,friend
1340,2782,acquaintance
2261,749,acquaintance
1347,148,acquaintance
1754,2951,acquaintance
648,2640,acquaintance
1116,1171,acquaintance
2627,865,acquaintance
707,1477,best friend
1870,1951,friend
335,2907,acquaintance
655,2401,acquaintance
253,2104,acquaintance
395,1005,acquaintance
2029,1367,friend
2333,2051,acquaintance
2907,2627,friend
1846,707,acquaintance
2494,939,friend
1637,2756,acquaintance
478,1549,friend
2926,59,friend
1160,2999,acquaintance
2048,595,acquaintance
2986,2124,friend
2403,209,acquaintance
396,2135,acquaintance
2195,2060,acquaintance
1434,57,best friend
1437,300,acquaintance
379,624,acquaintance
2585,2942,acquaintance
1431,624,friend
1528,1594,friend
799,557,acquaintance
705,176,acquaintance
133,2054,acquaintance
2897,749,acquaintance
2544,2584,best friend
2272,923,friend
737,142,acquaintance
778,1403,friend
2546,2688,acquaintance
282,299,acquaintance
2840,725,acquaintance
2737,1844,acquaintance
448,287,friend
1655,2215,acquaintance
1878,2928,friend
1578,1592,acquaintance
1,295,acquaintance
1248,579,acquaintance
2969,1367,acquaintance
2008,1798,acquaintance
2989,890,acquaintance
280,600,best friend
2923,2897,acquaintance
343,2499,acquaintance
2117,1947,acquaintance
1274,2086,friend
1367,2256,friend
1058,1837,acquaintance
797,1728,acquaintance
1985,865,friend
2093,595,friend
1983,2574,best friend
2982,2908,acquaintance
919,2999,acquaintance
1893,1405,friend
599,194,acquaintance
1409,2244,friend
2605,462,acquaintance
301,2048,acquaintance
8,2103,acquaintance
1254,2511,acquaintance
2459,1282,acquaintance
485,1812,acquaintance
2885,2527,acquaintance
1562,1248,acquaintance
679,1992,acquaintance
2554,2528,friend
1063,2462,acquaintance
2672,2666,friend
1928,2463,best friend
1741,1068,acquaintance
165,2930,acquaintance
455,1341,acquaintance
840,118,friend
2272,1829,friend
1313,589,best friend
2582,94,friend
1945,405,friend
2885,778,acquaintance
863,2500,acquaintance
1474,2752,acquaintance
731,380,acquaintance
1282,2374,acquaintance
2333,2782,acquaintance
2117,1051,acquaintance
194,1367,friend
1452,1935,friend
